"""Modelo""";Sistema Operacional;Disponibilidade;Dimensões;Peso; MELHOR PREÇO ;Faixa de Preço; pre�o min ; pre�o max ;Custo-benefício;Hardware;#NOME?;- Câmera;#NOME?;Gsm;Dual Sim;Sim Card;Chipset;Processador;64 Bit;GPU;RAM;Memória Max;Memória Expansível;Polegadas;Resolução;Densidade de pixels;Tipo;Touchscreen;Multitouch;Cores;Megapixel;Resolução;Estabilização;Autofoco;Foco por toque;Flash;HDR;Localização;Câmera Frontal;Resolução da gravação;FPS da gravação;Stereo Sound Rec;Wi-Fi;Bluetooth;USB;NFC;GPS;GPRS;EDGE;UMTS;HSDPA;HSUPA;HSPA+;LTE;Velocidade máxima de download;Velocidade máxima de upload;Acelerômetro;Proximidade;Player de música;Player de vídeo;Radio FM;Tv;Saída de TV;Browser;Flash Player;Vibração;Viva Voz;Toques;Toques personalizados;Outros;Tipo;Aperture Size;Detecção facial;Detecção de sorriso;Auto focagem de vídeo;Estabilização de vídeo;Vídeo Câmera Frontal;IRDA;Mic. de Redução de Ruído;Ampere;SAR US;Giroscópio;Bússola;Impressão digital;Resistência a água;Proteção;Slow Motion;Foto em Vídeo;Opções da Câmera Frontal;Zoom Ótico;Vídeo HDR;Autonomia conversação;Autonomia em standby;Tamanho do Sensor;Barômetro;Dual Rec;SAR EU;Dual Shot;Gesto;Preço Extra;Segundo Display;Teclado Qwerty;MMS;Email;Câmera;Preço Magazine Luiza;Preço Kabum;Preço Carrefour;Code;Altímetro;Preço Casas Bahia;Preço Submarino;Preço FastShop;Preço Americanas;Preço Walmart;Preço Colombo;Preço Pontofrio;Personalizzazione;Display Curvo;Preço Apple;Antena;Blink Detection;ROM;Temperatura;Umidade;Foto 3D;Java;Vídeo 3D;3D;HSCSD;UMA;Satelital
Nokia 2;Android 7.1.1 Nougat;2017/4;143.5 x 71.3 x 9.3 mm;; R$-   ;; R$-   ; R$-   ;;6.3 / 10;5.5 / 10;6.3 / 10;4.6 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;Qualcomm Snapdragon 212 MSM8909 v2 Cortex-A7;1.3 GHz Quad Core;X;Adreno 304;1 GB;8 GB;ok Micro SD Até 128 GB;5;3264 x 2448 pixel;294 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;8 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 5 Mp;ok HD 720p;30 fps;;ok 802.11b/g/n;ok 4.1 com A2DP;ok Micro USB 2.0;X;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok RDS;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspot;Litio;;;;;;720p HD, 30fps;;;4100 Mah;;X;;;;ok Gorilla Glass 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oppo F5;Android 7.1 ColorOS 3.2 Nougat;2017/4;156.5 x 76 x 7.5 mm;152 gramas; R$-   ;; R$-   ; R$-   ;;8.1 / 10;8.2 / 10;08/out;6.6 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;MediaTek Helio P23 MT6763T;4x 2.3 GHz Cortex-A53 + 4x 1.6 GHz Cortex-A53;ok;ARM Mali G71 MP2;6 GB;64 GB;ok Micro SD Atè 256 GB;6;4608 x 3456 pixel;402 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 20 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n;ok 4.2 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;300 Mbps;150 Mbps;ok;ok;ok;ok MP4/H.264/WMV;X;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi hotspotUSB OTG;Litio;F 1.8;ok;;ok;ok;Full HD, 30fps;;ok;3200 Mah;;;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nokia 7;Android 7.1.1 Nougat;2017/4;141.2 x 71.45 x 7.92 mm;; R$-   ;; R$-   ; R$-   ;;8.4 / 10;8.3 / 10;8.5 / 10;8.2 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 630;4x 2.2 GHz Cortex-A53 + 4x 1.8 GHz Cortex A53;ok;Adreno 508;6 GB;64 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 128 GB;5.2;4608 x 3456 pixel;424 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 5 Mp;ok 4K (2160p);30 fps;;ok 802.11 b/g/n/ac;ok 5.0 com A2DP/LE;ok Type-C 2.0;ok;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;F 1.8;ok;;;;;;ok;3000 Mah;;ok;ok;ok;;ok Gorilla Glass 3;;;;;;900 minutos;340 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huawei Mate 10 Lite;Android 7.0 EMUI 5.1 Nougat;2017/4;156.2 x 75.2 x 7.5 mm;164 gramas; R$-   ;; R$-   ; R$-   ;;8.3 / 10;8.2 / 10;08/out;7.4 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;Huawei HiSilicon Kirin 659;4x 2.36 GHz Cortex-A53 + 4x 1.7 Cortex-A53;ok;Mali-T830 MP2;4 GB;64 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 256 GB;5.9;4608 x 3456 pixel;409 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 13 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.2 com LE/EDR/A2DP;ok Micro USB 2.0;X;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX;;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;LiPo;F 2.2;ok;ok;ok;ok;;;ok;3340 Mah;;ok;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huawei Mate 10 Porsche Design;Android 8.0 EMUI 8.0 Oreo;2017/4;154.2 x 74.5 x 7.9 mm;178 gramas; R$-   ;; R$-   ; R$-   ;;9.2 / 10;8.2 / 10;9.4 / 10;8.9 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Huawei Hisilicon Kirin 970;4x2.4 GHz Cortex-A73 + 4x1.8 GHz Cortex-A53;ok;Mali-G72 MP12;6 GB;256 GB;X;6;4992 x 3744 pixel;402 ppi;AMOLED;ok Capacitiva;ok;16 milhões;20 Mp;;ok Ótica;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com LE/EDR/A2DP;ok Type-C 3.1;ok;ok A-GPS/GLONASS/BeiDou/Galileo;ok;ok;ok;ok;ok;ok;ok;1000 Mbps;150 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspotDLNA;LiPo;F 1.6;ok;ok;ok;ok;Full HD, 30fps;ok;ok;4000 Mah;;ok;ok;ok;ok;ok Corning Gorilla Glass;;;;;;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huawei Mate 10 Pro;Android 8.0 EMUI 8.0 Oreo;2017/4;154.2 x 74.5 x 7.9 mm;178 gramas; R$-   ;; R$-   ; R$-   ;;9.2 / 10;8.2 / 10;9.4 / 10;8.9 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;Huawei Hisilicon Kirin 970;4x2.4 GHz Cortex-A73 + 4x1.8 GHz Cortex-A53;ok;Mali-G72 MP12;6 GB;128 GB;X;6;4992 x 3744 pixel;402 ppi;AMOLED;ok Capacitiva;ok;16 milhões;20 Mp;;ok Ótica;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com LE/EDR/A2DP;ok Type-C 3.1;ok;ok A-GPS/GLONASS/BeiDou/Galileo;ok;ok;ok;ok;ok;ok;ok;1000 Mbps;150 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspotDLNA;LiPo;F 1.6;ok;ok;ok;ok;Full HD, 30fps;ok;ok;4000 Mah;;ok;ok;ok;ok;ok Corning Gorilla Glass;;;;;;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huawei Mate 10;Android 8.0 EMUI 8.0 Oreo;2017/4;150.5 x 77.8 x 8.2 mm;186 gramas; R$-   ;; R$-   ; R$-   ;;9.3 / 10;09/out;9.4 / 10;8.7 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;Huawei Hisilicon Kirin 970;4x2.4 GHz Cortex-A73 + 4x1.8 GHz Cortex-A53;ok;Mali-G72 MP12;4 GB;64 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 256 GB;5.9;4992 x 3744 pixel;499 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;20 Mp;;ok Ótica;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com LE/EDR/A2DP;ok Type-C 3.1;ok;ok A-GPS/GLONASS/BeiDou/Galileo;ok;ok;ok;ok;ok;ok;ok;1000 Mbps;150 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspotDLNA;LiPo;F 1.6;ok;ok;ok;ok;Full HD, 30fps;ok;ok;4000 Mah;;ok;ok;ok;;ok Corning Gorilla Glass;;;;;;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nubia Z17S;Android 7.1.1 Nougat;2017/4;147.46 x 72.68 x 8.5 mm;170 gramas; R$-   ;; R$-   ; R$-   ;;8.8 / 10;8.1 / 10;08/out;9.6 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm MSM8998 Snapdragon 835;Quad-core 2.45 GHz Kryo + Quad-core 1.9 GHz Kryo;ok;Adreno 540;8 GB;128 GB;X;5.73;4032 x 3024 pixel;403 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;12 Mp;;ok Otica / Digital;ok;ok;ok Dual LED;ok;ok;ok 5 Mp;ok 4K (2160p);30 fps;;ok 802.11 b/g/n/ac;ok 4.1 com A2DP/LE;ok Type-C 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;600 Mbps;100 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspotUSB OTG;Litio;F 1.8;ok;ok;ok;ok;;ok;ok;3100 Mah;;ok;ok;ok;;ok Gorilla Glass;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honor 6C Pro;Android 7.0 EMUI 5.1 Nougat;2017/4;147.9 x 73.2 x 7.65 mm;145 gramas; R$-   ;; R$-   ; R$-   ;;7.5 / 10;5.5 / 10;7.5 / 10;7.6 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 450 Cortex-A53;1.8 GHz 8 Core;ok;Adreno 506;3 GB;32 GB;ok Micro SD Atè 256 GB;5;4208 x 3120 pixel;294 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.1 com A2DP;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.263/H.264;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspot;LiPo;F 2.2;ok;;ok;;;;ok;3050 Mah;;X;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honor 7x;Android 7.0 EMUI 5.1 Nougat;2017/4;156.5 x 75.3 x 7.6 mm;165 gramas; R$-   ;; R$-   ; R$-   ;;8.3 / 10;8.2 / 10;08/out;7.4 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Huawei HiSilicon Kirin 659;Octa-core 4x 2.36 GHz Cortex-A53 + 4x 1.7 Cortex-A53;ok;Mali-T830 MP2;4 GB;128 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 256 GB;5.93;4608 x 3456 pixel;407 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 8 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.1 com LE/EDR/A2DP;ok Micro USB 2.0;X;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;LiPo;;ok;;ok;ok;Full HD, 30fps;;ok;3340 Mah;;;ok;ok;;;;;;;;;;1/2.9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BlackBerry Motion;Android 7.1 Nougat;2017/4;155.7 x 75.4 x 8.1 mm;; R$-   ;; R$-   ; R$-   ;;8.2 / 10;8.1 / 10;08/out;08/out;ok Quad Band (850/900/1800/1900);X;Nano;Qualcomm Snapdragon 625 MSM8953 Cortex-A53;2 GHz 8 Core;ok;Adreno 506;4 GB;32 GB;ok Micro SD Até 256 GB;5.5;4038 x 3036 pixel;401 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;12 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;ok;ok 802.11 a/b/g/n/ac;ok 4.2 com LE/EDR/A2DP;ok Type-C 2.0;;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;450 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX;;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;F 2;ok;;;;Full HD, 30fps;;ok;4000 Mah;Head 0.63 W/kg Body 1.26 W/kg;;ok;ok;ok;ok Dragontrail Glass;;;;;;;;1/2.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asus ZenFone 4 Selfie Lite;Android 7.0 ZenUI 4.0 Nougat;2017/4;155.66 x 75.9 x 7.85 mm;144 gramas; R$-   ;; R$-   ; R$-   ;;7.2 / 10;5.2 / 10;7.5 / 10;6.8 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 425 MSM8917 Cortex-A53;1.4 GHz 8 Core;ok;Adreno 308;2 GB;32 GB;ok Micro SD Até 2 TB;5.5;4160 x 3120 pixel;267 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 13 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.1 com LE/EDR/A2DP;ok Micro USB 2.0;X;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok Html;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;;;;;;;;ok;3000 Mah;;ok;ok;ok;;;;;Flash LED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung Galaxy J7 Pro;Android 7.1 Nougat;2017/2;152.4 x 74.7 x 7.9 mm;181 gramas; R$1.247,00 ;R$ 1.247 - R$ 1.699; R$1.247,00 ; R$1.699,00 ;6.9 / 10;08/out;8.1 / 10;7.5 / 10;07/out;ok Quad Band (850/900/1800/1900);ok;Nano;SAMSUNG Exynos 7870 Octa Cortex-A53;1.6 GHz 8 Core;ok;Mali-T830 MP2;3 GB;64 GB;ok Micro SD Até 256 GB;5.5;4128 x 3096 pixel;401 ppi;Super AMOLED;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 13 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n/ac;ok 4.1 com A2DP;ok Micro USB 2.0;ok;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;F 1.7;ok;;ok;;Full HD, 30fps;;ok;3600 Mah;;ok;ok;ok;;;;;Flash LED;;;1440 minutos;470 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Google Pixel 2 XL;Android 8.0 Oreo;2017/4;157.5 x 76.2 x 7.6 mm;175 gramas; R$-   ;; R$-   ; R$-   ;;09/out;9.1 / 10;08/out;9.1 / 10;ok Quad Band (850/900/1800/1900);X;Nano - eSIM;Qualcomm MSM8998 Snapdragon 835;Quad-core 2.35 GHz Kryo + Quad-core 1.9 GHz Kryo;ok;Adreno 540;4 GB;128 GB;X;6;3968 x 2976 pixel;538 ppi;P-OLED;ok Capacitiva;ok;16 milhões;12.2 Mp;;ok Otica / Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;X;ok 802.11 a/b/g/n/ac;ok 5.0 com A2DP/LE;ok Type-C 3.1;ok;ok A-GPS/GLONASS/BeiDou/Galileo;ok;ok;ok;ok;ok;ok;ok;800 Mbps;75 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX;X;X;;ok Html/HTML5;;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;F 1.8;;;ok;;Full HD, 30fps;;ok;3520 Mah;;ok;ok;ok;ok;ok Gorilla Glass 5;;;;;;;;1/2.3 ;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Google Pixel 2;Android 8.0 Oreo;2017/4;145.7 x 69.7 x 7.8 mm;143 gramas; R$-   ;; R$-   ; R$-   ;;8.8 / 10;8.3 / 10;08/out;9.1 / 10;ok Quad Band (850/900/1800/1900);X;Nano - eSIM;Qualcomm MSM8998 Snapdragon 835;Quad-core 2.35 GHz Kryo + Quad-core 1.9 GHz Kryo;ok;Adreno 540;4 GB;128 GB;X;5;3968 x 2976 pixel;441 ppi;AMOLED;ok Capacitiva;ok;16 milhões;12.2 Mp;;ok Otica / Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;X;ok 802.11 a/b/g/n/ac;ok 5.0 com A2DP/LE;ok Type-C 3.1;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;800 Mbps;75 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX;X;X;;ok Html/HTML5;;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;F 1.8;;;ok;;Full HD, 30fps;;ok;2700 Mah;;ok;ok;ok;ok;ok Gorilla Glass 5;;;;;;;;1/2.3 ;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meizu M6;Android 7.0 Flyme 6.0 Nougat;2017/3;148.2 x 72.8 x 8.3 mm;143 gramas; R$-   ;; R$-   ; R$-   ;;6.6 / 10;5.5 / 10;7.5 / 10;4.2 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;MediaTek MT6750 Cortex-A53;Quad-core 1.5 GHz Cortex-A53 + Quad-core 1.0 GHz Cortex-A53;ok;Mali-T860MP2;3 GB;32 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 256 GB;5.2;4160 x 3120 pixel;282 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n;ok 4.1 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid/Sorenson Spark;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi hotspot;Litio;F 2.2;ok;;ok;ok;Full HD, 30fps;;;3070 Mah;;ok;ok;ok;;;;;;;;2220 minutos;360 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple iPhone X;iOS 11;2017/3;143.6 x 70.9 x 7.7 mm;174 gramas; R$-   ;; R$-   ; R$-   ;;9.6 / 10;9.3 / 10;9.3 / 10;10/out;ok Quad Band (850/900/1800/1900);X;Nano;Apple A11 Bionic;2x Monsoon + 4x Mistral;ok;Apple M11;3 GB;256 GB;X;5.8;4608 x 2592 pixel;458 ppi;OLED;ok Capacitiva;ok;16 milhões;12 Mp;;ok Ótica;ok;ok;ok Quad LED;ok;ok;ok 7 Mp;ok 4K (2160p);60 fps;;ok 802.11 a/b/g/n/ac;ok 5.0 com A2DP/LE;ok 3.0;ok;ok A-GPS/GLONASS/Galileo;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.264;X;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspot;Litio;F 1.8;ok;ok;ok;ok;Full HD, 30fps;;ok;;;ok;ok;;ok;ok Scratch-resistant glass;ok 240 fps;ok;HDR/Face Detection/Modo Selfie;ok 2 x;;;;;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple iPhone 8 Plus;iOS 11;2017/3;158.4 x 78.1 x 7.5 mm;202 gramas; R$4.047,00 ;R$ 4.047 - R$ 5.414; R$4.047,00 ; R$5.414,00 ;6.6 / 10;9.3 / 10;8.1 / 10;9.3 / 10;10/out;ok Quad Band (850/900/1800/1900);X;Nano;Apple A11 Bionic;2x Monsoon + 4x Mistral;ok;Apple M11;3 GB;256 GB;X;5.5;4608 x 2592 pixel;401 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;12 Mp;;ok Ótica;ok;ok;ok Quad LED;ok;ok;ok 7 Mp;ok 4K (2160p);60 fps;;ok 802.11 a/b/g/n/ac;ok 5.0 com A2DP/LE;ok 2.0;ok;ok A-GPS/GLONASS/Galileo;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.264;X;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspot;Litio;F 1.8;ok;ok;ok;ok;Full HD, 30fps;;ok;2675 Mah;;ok;ok;ok;ok;ok Scratch-resistant glass;ok 240 fps;ok;HDR/Face Detection/Modo Selfie;ok 2 x;;;;01/mar;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple iPhone 8;iOS 11;2017/3;138.4 x 67.3 x 7.3 mm;148 gramas; R$3.167,00 ;R$ 3.167 - R$ 5.454; R$3.167,00 ; R$5.454,00 ;6.5 / 10;09/out;7.1 / 10;9.3 / 10;9.9 / 10;ok Quad Band (850/900/1800/1900);X;Nano;Apple A11 Bionic;2x Monsoon + 4x Mistral;ok;Apple M11;2 GB;256 GB;X;4.7;4608 x 2592 pixel;326 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;12 Mp;;ok Ótica;ok;ok;ok Quad LED;ok;ok;ok 7 Mp;ok 4K (2160p);60 fps;;ok 802.11 a/b/g/n/ac;ok 5.0 com A2DP/LE;ok 2.0;ok;ok A-GPS/GLONASS/Galileo;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.264;X;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspot;Litio;F 1.8;ok;ok;ok;ok;Full HD, 30fps;;ok;1821 Mah;;ok;ok;ok;ok;ok Scratch-resistant glass;ok 240 fps;ok;HDR/Face Detection/Modo Selfie;;;;;01/mar;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xiaomi Mi Note 3;Android 7.1 MIUI Nougat;2017/3;152.6 x 73.95 x 7.6 mm;163 gramas; R$-   ;; R$-   ; R$-   ;;8.5 / 10;8.1 / 10;8.4 / 10;8.2 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 660 MSM8956;Quad-core 2.2 GHz Kryo + Quad-core 1.8 GHz Kryo;ok;Adreno 512;6 GB;128 GB;X;5.5;4032 x 3024 pixel;401 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;12 Mp;;ok Ótica;ok;ok;ok Dual LED;ok;ok;ok 16 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 5.0 com A2DP/LE;ok Type-C 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.263/H.264/WMV;X;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;F 1.8;ok;ok;ok;ok;;ok;ok;3500 Mah;;ok;ok;ok;;;;;;;;;;2.6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xiaomi Mi Mix 2;Android 7.1 MIUI v9 Nougat;2017/3;151.8 x 75.5 x 7.7 mm;185 gramas; R$-   ;; R$-   ; R$-   ;;8.9 / 10;8.2 / 10;8.4 / 10;9.4 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm MSM8998 Snapdragon 835;Quad-core 2.45 GHz Kryo + Quad-core 1.9 GHz Kryo;ok;Adreno 540;6 GB;256 GB;X;5.99;4032 x 3024 pixel;403 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;12 Mp;;ok Ótica;ok;ok;ok Dual LED;ok;ok;ok 5 Mp;ok 4K (2160p);;;ok 802.11 a/b/g/n/ac;ok 5.0 com A2DP/LE;ok Type-C 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.263/H.264/WMV;X;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;;ok;ok;ok;ok;;;ok;3400 Mah;;ok;ok;ok;;;;;;;;;;1/2.9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
